7562,19986,-5,-44,243708,,,,,,
7555,19876,-5,-44,228611,,,,,,
7549,19753,-5,-44,217730,,,,,,
7543,19572,-5,-43,205316,,,,,,
7532,19346,-5,-43,191709,,,,,,
7524,19084,-5,-42,175059,,,,,,
7506,18734,-5,-42,152154,,,,,,
7496,18348,-5,-41,156310,,,,,,
7486,18112,-5,-39,141361,,,,,,
7464,17853,-5,-38,128565,,,,,,
7452,17548,-5,-37,118509,,,,,,
7439,17255,-5,-37,103916,,,,,,
7413,15875,-5,-32,81871,,,,,,
7336,13527,-4,-24,12506,,,,,,
7120,7344,-3,-5,-108852,,,,,,
7004,2078,-3,9,-188868,,,,,,
7019,-1361,-3,16,-196450,,,,,,
7052,-2030,-3,16,-152344,,,,,,
7135,-937,-3,9,-82490,,,,,,
7212,547,-3,0,-27957,,,,,,
7237,1667,-3,-3,4570,,,,,,
7227,2030,-3,-2,10812,,,,,,
7224,1711,-3,-1,2259,,,,,,
7212,462,-4,-7,-16079,,,,,,
7185,138,-4,-4,-16799,,,,,,
7158,-263,-5,-4,-19638,,,,,,
7132,-702,-5,-6,-21818,,,,,,
7094,-1048,-5,-7,-21827,,,,,,
7003,-1537,-5,-5,-23364,,,,,,
6876,-2481,-5,-2,-32904,,,,,,
6719,-3846,-5,-1,-48930,,,,,,
6515,-5625,-5,0,-66110,,,,,,
6275,-7532,-5,0,-83006,,,,,,
5975,-9771,-4,1,-98600,,,,,,
5631,-12269,-4,5,-112391,,,,,,
5267,-14670,-3,9,-124187,,,,,,
4865,-17155,-3,12,-141774,,,,,,
4426,-20003,-2,18,-153360,,,,,,
3955,-22450,-2,24,-147286,,,,,,
3477,-24241,-1,27,-141264,,,,,,
2937,-26578,0,32,-140657,,,,,,
2406,-28759,0,38,-143178,,,,,,
2319,-29198,1,40,-143638,,,,,,
2280,-29507,1,41,-142961,,,,,,
2242,-29808,1,42,-155455,,,,,,
2174,-30373,1,43,-164364,,,,,,
2137,-30905,1,44,-179612,,,,,,
